User_ID,Visit_Date,Traffic_Source,Device,Country,User_Age,Gender,Product_Category,Product_Price,Added_To_Cart,Reached_Checkout,Purchased,Order_Value,Abandoned_Cart
52,2026-01-01 05:46:57.817895,Direct,Desktop,Pakistan,43,Female,Clothing,312.84,No,No,No,0.0,No
53,2025-11-16 05:46:57.817895,Facebook,Tablet,Canada,25,Female,Home,249.9,Yes,Yes,Yes,249.9,No
54,2025-11-24 05:46:57.817895,Email,Mobile,Germany,41,Female,Electronics,483.91,Yes,Yes,Yes,483.91,No
55,2025-12-13 05:46:57.817895,Referral,Mobile,Canada,25,Male,Clothing,475.48,No,No,No,0.0,No
56,2026-02-12 05:46:57.817895,Facebook,Tablet,Australia,36,Male,Sports,492.08,Yes,Yes,Yes,492.08,No
57,2025-09-01 05:46:57.817895,Facebook,Mobile,Australia,47,Male,Sports,434.56,No,No,No,0.0,No
58,2026-02-15 05:46:57.817895,Facebook,Mobile,UK,39,Male,Clothing,455.68,Yes,No,No,0.0,Yes
59,2025-09-28 05:46:57.817895,Facebook,Mobile,Pakistan,26,Male,Clothing,116.47,No,No,No,0.0,No
60,2025-11-13 05:46:57.817895,Direct,Mobile,Pakistan,21,Male,Home,417.19,No,No,No,0.0,No
61,2026-02-04 05:46:57.817895,Direct,Desktop,Pakistan,54,Female,Beauty,357.34,No,No,No,0.0,No
62,2025-10-13 05:46:57.817895,Direct,Desktop,Australia,25,Female,Home,481.77,Yes,Yes,Yes,481.77,No
63,2025-12-06 05:46:57.817895,Referral,Tablet,Pakistan,18,Female,Beauty,289.92,Yes,Yes,Yes,289.92,No
64,2026-01-03 05:46:57.817895,Referral,Mobile,USA,45,Male,Sports,51.73,No,No,No,0.0,No
65,2025-08-26 05:46:57.817895,Referral,Mobile,USA,23,Male,Beauty,302.73,Yes,Yes,Yes,302.73,No
66,2026-01-05 05:46:57.817895,Google,Mobile,Germany,53,Female,Home,346.42,Yes,Yes,Yes,346.42,No
67,2025-10-17 05:46:57.817895,Referral,Mobile,Pakistan,28,Male,Clothing,117.96,No,No,No,0.0,No
68,2025-12-08 05:46:57.817895,Direct,Mobile,UK,22,Male,Beauty,203.12,Yes,No,No,0.0,Yes
69,2025-08-28 05:46:57.817895,Direct,Tablet,Germany,41,Male,Home,303.27,Yes,No,No,0.0,Yes
70,2025-10-17 05:46:57.817895,Google,Desktop,Australia,35,Female,Sports,193.31,No,No,No,0.0,No
71,2026-01-17 05:46:57.817895,Google,Mobile,Pakistan,37,Female,Beauty,193.72,Yes,Yes,Yes,193.72,No
72,2025-10-07 05:46:57.817895,Referral,Desktop,USA,45,Male,Sports,75.21,Yes,Yes,Yes,75.21,No
73,2026-02-02 05:46:57.817895,Email,Mobile,UK,30,Female,Sports,470.97,No,No,No,0.0,No
74,2025-09-07 05:46:57.817895,Google,Mobile,Germany,22,Female,Electronics,377.74,No,No,No,0.0,No
75,2025-11-27 05:46:57.817895,Facebook,Desktop,UK,47,Male,Beauty,10.61,Yes,Yes,Yes,10.61,No
76,2025-10-11 05:46:57.817895,Direct,Mobile,Pakistan,18,Male,Home,385.15,No,No,No,0.0,No
77,2025-09-08 05:46:57.817895,Facebook,Tablet,Canada,39,Female,Beauty,372.5,No,No,No,0.0,No
78,2025-10-03 05:46:57.817895,Direct,Desktop,UK,35,Female,Beauty,14.77,Yes,Yes,No,0.0,Yes
79,2025-11-14 05:46:57.817895,Direct,Mobile,UK,22,Male,Sports,191.11,Yes,No,No,0.0,Yes
80,2025-12-13 05:46:57.817895,Google,Desktop,Australia,48,Male,Sports,307.31,Yes,Yes,Yes,307.31,No
81,2025-10-16 05:46:57.817895,Google,Mobile,USA,23,Male,Sports,231.85,No,No,No,0.0,No
82,2025-09-17 05:46:57.817895,Facebook,Mobile,Pakistan,44,Female,Sports,391.21,No,No,No,0.0,No
83,2026-01-25 05:46:57.817895,Direct,Mobile,UK,42,Female,Home,218.47,Yes,Yes,Yes,218.47,No
84,2025-12-26 05:46:57.817895,Facebook,Mobile,Pakistan,46,Male,Clothing,85.39,No,No,No,0.0,No
85,2025-10-04 05:46:57.817895,Email,Desktop,USA,45,Male,Electronics,488.44,No,No,No,0.0,No
86,2026-01-28 05:46:57.817895,Facebook,Mobile,Australia,33,Male,Sports,128.6,Yes,No,No,0.0,Yes
87,2025-09-08 05:46:57.817895,Referral,Desktop,Pakistan,29,Male,Sports,361.67,No,No,No,0.0,No
88,2025-10-08 05:46:57.817895,Facebook,Mobile,USA,37,Female,Electronics,80.15,Yes,Yes,Yes,80.15,No
89,2025-10-28 05:46:57.817895,Referral,Mobile,USA,35,Male,Sports,171.22,No,No,No,0.0,No
90,2025-11-21 05:46:57.817895,Referral,Desktop,Germany,51,Male,Clothing,226.59,Yes,Yes,Yes,226.59,No
91,2025-11-03 05:46:57.817895,Referral,Mobile,Australia,40,Female,Beauty,104.19,Yes,Yes,Yes,104.19,No
92,2025-09-02 05:46:57.817895,Email,Mobile,Australia,44,Male,Electronics,230.48,No,No,No,0.0,No
93,2025-11-20 05:46:57.817895,Facebook,Mobile,Pakistan,34,Female,Home,87.01,Yes,Yes,No,0.0,Yes
94,2025-12-31 05:46:57.817895,Facebook,Mobile,Canada,38,Female,Electronics,283.91,No,No,No,0.0,No
95,2026-01-07 05:46:57.817895,Email,Mobile,Germany,57,Female,Clothing,335.22,Yes,No,No,0.0,Yes
96,2025-10-26 05:46:57.817895,Direct,Desktop,Australia,48,Male,Home,40.59,No,No,No,0.0,No
97,2026-01-10 05:46:57.817895,Google,Mobile,USA,20,Female,Beauty,436.85,Yes,Yes,No,0.0,Yes
98,2025-11-13 05:46:57.817895,Facebook,Mobile,Australia,34,Male,Sports,100.72,Yes,Yes,Yes,100.72,No
99,2026-01-07 05:46:57.817895,Google,Tablet,Canada,43,Female,Electronics,120.43,No,No,No,0.0,No
100,2026-02-03 05:46:57.817895,Email,Mobile,UK,40,Female,Home,334.06,No,No,No,0.0,No
101,2026-02-03 05:46:57.817895,Direct,Desktop,UK,23,Female,Electronics,239.69,No,No,No,0.0,No
102,2025-09-26 05:46:57.817895,Direct,Mobile,Australia,45,Male,Beauty,254.7,No,No,No,0.0,No
103,2025-12-25 05:46:57.817895,Direct,Mobile,Australia,25,Male,Electronics,72.8,Yes,Yes,Yes,72.8,No
104,2025-08-29 05:46:57.817895,Email,Desktop,Germany,25,Female,Home,404.81,Yes,Yes,No,0.0,Yes
105,2025-10-04 05:46:57.817895,Referral,Mobile,Australia,36,Male,Clothing,312.36,Yes,No,No,0.0,Yes
106,2025-09-21 05:46:57.817895,Referral,Desktop,Canada,55,Female,Home,76.34,Yes,Yes,Yes,76.34,No
107,2026-01-06 05:46:57.817895,Google,Mobile,Australia,46,Female,Electronics,193.26,No,No,No,0.0,No
108,2025-11-04 05:46:57.817895,Referral,Mobile,Pakistan,40,Female,Beauty,407.1,No,No,No,0.0,No
109,2025-09-05 05:46:57.817895,Referral,Mobile,Canada,49,Female,Sports,288.49,Yes,No,No,0.0,Yes
110,2026-02-02 05:46:57.817895,Direct,Mobile,Germany,27,Male,Sports,63.24,No,No,No,0.0,No
111,2025-09-26 05:46:57.817895,Direct,Desktop,Pakistan,44,Female,Beauty,192.66,No,No,No,0.0,No
112,2025-10-11 05:46:57.817895,Google,Mobile,Pakistan,18,Male,Electronics,128.92,No,No,No,0.0,No
113,2026-01-22 05:46:57.817895,Facebook,Tablet,UK,56,Female,Beauty,263.56,Yes,No,No,0.0,Yes
114,2025-10-25 05:46:57.817895,Google,Tablet,Canada,46,Female,Electronics,423.25,Yes,No,No,0.0,Yes
115,2025-09-30 05:46:57.817895,Google,Mobile,Pakistan,20,Female,Home,223.77,No,No,No,0.0,No
116,2025-12-01 05:46:57.817895,Email,Mobile,Germany,54,Female,Clothing,222.34,No,No,No,0.0,No
117,2026-02-12 05:46:57.817895,Email,Desktop,UK,48,Female,Electronics,453.62,Yes,No,No,0.0,Yes
118,2025-12-06 05:46:57.817895,Google,Tablet,Pakistan,28,Male,Sports,292.33,No,No,No,0.0,No
119,2025-09-28 05:46:57.817895,Google,Mobile,Canada,39,Male,Sports,287.43,Yes,Yes,Yes,287.43,No
120,2025-12-03 05:46:57.817895,Google,Mobile,UK,35,Female,Clothing,138.34,Yes,No,No,0.0,Yes
121,2026-02-15 05:46:57.817895,Referral,Mobile,Canada,52,Male,Electronics,307.78,No,No,No,0.0,No
122,2026-01-02 05:46:57.817895,Email,Desktop,Canada,23,Male,Clothing,292.2,Yes,Yes,Yes,292.2,No
123,2025-08-25 05:46:57.817895,Google,Mobile,Canada,20,Female,Home,204.46,Yes,Yes,Yes,204.46,No
124,2025-08-29 05:46:57.817895,Direct,Desktop,UK,22,Female,Clothing,495.44,Yes,Yes,Yes,495.44,No
125,2026-01-13 05:46:57.817895,Direct,Mobile,Pakistan,26,Female,Home,442.13,Yes,Yes,Yes,442.13,No
126,2025-12-05 05:46:57.817895,Referral,Mobile,Australia,45,Female,Sports,377.3,Yes,Yes,Yes,377.3,No
127,2025-09-20 05:46:57.817895,Referral,Mobile,USA,36,Male,Home,273.3,Yes,Yes,Yes,273.3,No
128,2026-01-08 05:46:57.817895,Facebook,Mobile,Pakistan,45,Male,Electronics,236.41,No,No,No,0.0,No
129,2025-09-08 05:46:57.817895,Facebook,Mobile,UK,44,Male,Electronics,100.6,No,No,No,0.0,No
130,2025-11-22 05:46:57.817895,Facebook,Mobile,USA,30,Male,Electronics,159.81,Yes,Yes,Yes,159.81,No
131,2025-10-05 05:46:57.817895,Referral,Mobile,USA,55,Female,Electronics,389.24,Yes,Yes,Yes,389.24,No
132,2025-12-26 05:46:57.817895,Referral,Mobile,USA,38,Female,Beauty,232.34,No,No,No,0.0,No
133,2026-02-19 05:46:57.817895,Referral,Mobile,Australia,44,Female,Home,442.31,No,No,No,0.0,No
134,2025-10-26 05:46:57.817895,Direct,Tablet,Germany,23,Female,Electronics,82.48,Yes,Yes,Yes,82.48,No
135,2025-11-28 05:46:57.817895,Referral,Mobile,UK,55,Male,Clothing,259.09,Yes,No,No,0.0,Yes
136,2025-10-15 05:46:57.817895,Direct,Mobile,Australia,28,Male,Clothing,327.01,Yes,Yes,Yes,327.01,No
137,2025-11-28 05:46:57.817895,Facebook,Mobile,Australia,58,Female,Beauty,263.26,Yes,Yes,Yes,263.26,No
138,2026-01-03 05:46:57.817895,Facebook,Tablet,Germany,34,Male,Home,445.72,Yes,Yes,Yes,445.72,No
139,2026-01-22 05:46:57.817895,Facebook,Mobile,USA,56,Male,Home,494.89,No,No,No,0.0,No
140,2026-01-14 05:46:57.817895,Google,Desktop,Germany,24,Female,Home,66.76,No,No,No,0.0,No
141,2026-02-11 05:46:57.817895,Google,Desktop,Germany,47,Male,Beauty,73.68,No,No,No,0.0,No
142,2025-09-22 05:46:57.817895,Email,Desktop,Australia,38,Female,Home,73.86,Yes,Yes,Yes,73.86,No
143,2025-09-29 05:46:57.817895,Email,Mobile,UK,18,Male,Home,343.78,No,No,No,0.0,No
144,2025-09-06 05:46:57.817895,Email,Desktop,Canada,42,Male,Electronics,192.61,Yes,Yes,No,0.0,Yes
145,2026-01-31 05:46:57.817895,Google,Mobile,Germany,49,Female,Home,369.32,Yes,Yes,Yes,369.32,No
146,2025-11-03 05:46:57.817895,Google,Mobile,Germany,25,Female,Electronics,208.68,No,No,No,0.0,No
147,2025-11-18 05:46:57.817895,Email,Desktop,USA,22,Female,Electronics,317.53,Yes,Yes,Yes,317.53,No
148,2025-09-21 05:46:57.817895,Email,Mobile,USA,47,Male,Home,387.23,Yes,Yes,Yes,387.23,No
149,2025-10-29 05:46:57.817895,Referral,Desktop,Australia,25,Female,Clothing,278.63,Yes,Yes,Yes,278.63,No
150,2026-02-10 05:46:57.817895,Email,Mobile,USA,36,Male,Sports,274.36,No,No,No,0.0,No
151,2025-10-08 05:46:57.817895,Referral,Desktop,Pakistan,47,Female,Clothing,53.23,Yes,No,No,0.0,Yes
152,2025-10-25 05:46:57.817895,Direct,Mobile,Germany,32,Male,Home,211.28,No,No,No,0.0,No
153,2026-01-05 05:46:57.817895,Google,Mobile,USA,53,Female,Home,277.43,No,No,No,0.0,No
154,2025-09-21 05:46:57.817895,Email,Mobile,UK,44,Female,Clothing,236.37,No,No,No,0.0,No
155,2025-09-21 05:46:57.817895,Google,Tablet,Pakistan,30,Male,Home,451.38,Yes,Yes,Yes,451.38,No
156,2025-12-10 05:46:57.817895,Google,Mobile,Australia,31,Male,Electronics,454.2,Yes,No,No,0.0,Yes
157,2025-10-07 05:46:57.817895,Google,Mobile,Canada,54,Female,Beauty,412.74,Yes,No,No,0.0,Yes
158,2025-11-16 05:46:57.817895,Direct,Mobile,Germany,47,Male,Home,193.9,Yes,Yes,Yes,193.9,No
159,2025-09-23 05:46:57.817895,Facebook,Desktop,Germany,56,Female,Home,361.48,No,No,No,0.0,No
160,2025-11-07 05:46:57.817895,Email,Mobile,UK,30,Male,Clothing,203.69,Yes,No,No,0.0,Yes
161,2025-12-30 05:46:57.817895,Facebook,Mobile,Canada,33,Male,Electronics,123.97,No,No,No,0.0,No
162,2025-11-24 05:46:57.817895,Facebook,Mobile,Canada,24,Female,Clothing,178.02,Yes,No,No,0.0,Yes
163,2025-12-31 05:46:57.817895,Facebook,Mobile,Australia,44,Female,Clothing,44.77,No,No,No,0.0,No
164,2025-12-23 05:46:57.817895,Google,Mobile,Australia,52,Male,Home,172.57,Yes,Yes,Yes,172.57,No
165,2025-09-20 05:46:57.817895,Referral,Mobile,Pakistan,32,Male,Electronics,235.76,Yes,Yes,Yes,235.76,No
166,2025-12-23 05:46:57.817895,Google,Desktop,Germany,45,Male,Home,478.19,No,No,No,0.0,No
167,2025-12-18 05:46:57.817895,Google,Mobile,USA,52,Male,Home,163.57,Yes,Yes,Yes,163.57,No
168,2025-08-27 05:46:57.817895,Facebook,Mobile,Australia,24,Female,Home,452.2,Yes,Yes,Yes,452.2,No
169,2025-12-05 05:46:57.817895,Google,Mobile,UK,37,Female,Home,122.14,Yes,Yes,Yes,122.14,No
170,2026-01-26 05:46:57.817895,Facebook,Tablet,UK,49,Male,Beauty,103.57,Yes,No,No,0.0,Yes
171,2026-01-08 05:46:57.817895,Referral,Tablet,UK,55,Female,Sports,264.31,No,No,No,0.0,No
172,2025-10-25 05:46:57.817895,Email,Desktop,Australia,57,Male,Electronics,339.53,No,No,No,0.0,No
173,2026-02-05 05:46:57.817895,Facebook,Mobile,Australia,49,Male,Beauty,31.72,Yes,No,No,0.0,Yes
174,2025-10-14 05:46:57.817895,Referral,Mobile,UK,43,Male,Sports,118.32,Yes,Yes,Yes,118.32,No
175,2026-02-12 05:46:57.817895,Email,Mobile,Australia,56,Female,Sports,233.28,No,No,No,0.0,No
176,2026-01-23 05:46:57.817895,Direct,Mobile,USA,37,Male,Sports,172.19,No,No,No,0.0,No
177,2025-10-22 05:46:57.817895,Facebook,Mobile,USA,35,Female,Beauty,359.18,No,No,No,0.0,No
178,2025-12-20 05:46:57.817895,Facebook,Desktop,Pakistan,32,Female,Electronics,260.47,No,No,No,0.0,No
179,2026-01-31 05:46:57.817895,Direct,Desktop,Germany,39,Male,Clothing,88.58,Yes,No,No,0.0,Yes
180,2025-11-28 05:46:57.817895,Direct,Desktop,USA,39,Female,Sports,448.29,Yes,No,No,0.0,Yes
181,2026-02-20 05:46:57.817895,Facebook,Mobile,Pakistan,38,Male,Clothing,153.52,Yes,Yes,No,0.0,Yes
182,2025-12-15 05:46:57.817895,Direct,Desktop,Canada,19,Male,Clothing,368.25,Yes,Yes,Yes,368.25,No
183,2025-10-25 05:46:57.817895,Google,Mobile,Germany,57,Female,Home,392.16,No,No,No,0.0,No
184,2025-10-15 05:46:57.817895,Email,Mobile,USA,35,Male,Clothing,481.95,Yes,Yes,Yes,481.95,No
185,2025-09-05 05:46:57.817895,Email,Desktop,Canada,40,Female,Home,254.27,No,No,No,0.0,No
186,2025-10-02 05:46:57.817895,Email,Mobile,Pakistan,30,Female,Electronics,311.76,Yes,No,No,0.0,Yes
187,2026-01-01 05:46:57.817895,Google,Mobile,USA,58,Female,Electronics,174.09,No,No,No,0.0,No
188,2026-01-02 05:46:57.817895,Direct,Mobile,USA,26,Male,Home,342.31,Yes,No,No,0.0,Yes
189,2025-12-15 05:46:57.817895,Referral,Desktop,Australia,24,Female,Electronics,237.06,Yes,Yes,No,0.0,Yes
190,2025-12-03 05:46:57.817895,Direct,Desktop,Canada,58,Male,Sports,224.45,Yes,Yes,Yes,224.45,No
191,2025-12-15 05:46:57.817895,Facebook,Mobile,USA,18,Male,Electronics,429.18,No,No,No,0.0,No
192,2025-11-13 05:46:57.817895,Email,Desktop,UK,19,Female,Home,34.58,Yes,No,No,0.0,Yes
193,2025-12-15 05:46:57.817895,Direct,Mobile,Australia,21,Female,Sports,442.16,No,No,No,0.0,No
194,2025-08-26 05:46:57.817895,Referral,Mobile,Australia,31,Male,Clothing,427.51,Yes,No,No,0.0,Yes
195,2026-01-01 05:46:57.817895,Facebook,Desktop,USA,49,Female,Clothing,258.12,Yes,Yes,Yes,258.12,No
196,2025-10-17 05:46:57.817895,Google,Desktop,Australia,53,Female,Clothing,250.2,No,No,No,0.0,No
197,2025-11-19 05:46:57.817895,Google,Tablet,Germany,19,Female,Home,187.29,Yes,Yes,Yes,187.29,No
198,2025-12-31 05:46:57.817895,Referral,Mobile,Canada,57,Male,Clothing,497.15,Yes,No,No,0.0,Yes
199,2026-01-18 05:46:57.817895,Facebook,Desktop,Germany,31,Female,Electronics,64.47,Yes,Yes,Yes,64.47,No
200,2025-12-28 05:46:57.817895,Email,Desktop,Pakistan,37,Male,Clothing,299.21,No,No,No,0.0,No
201,2026-01-01 05:46:57.817895,Direct,Tablet,Germany,42,Male,Beauty,344.02,Yes,Yes,Yes,344.02,No
202,2025-10-16 05:46:57.817895,Facebook,Mobile,UK,59,Female,Beauty,467.82,Yes,No,No,0.0,Yes
203,2026-02-12 05:46:57.817895,Google,Desktop,Australia,25,Female,Clothing,392.3,Yes,Yes,Yes,392.3,No
204,2026-01-31 05:46:57.817895,Referral,Mobile,Australia,45,Male,Clothing,325.49,Yes,No,No,0.0,Yes
205,2026-01-31 05:46:57.817895,Referral,Mobile,UK,38,Male,Beauty,67.24,Yes,Yes,Yes,67.24,No
206,2025-10-31 05:46:57.817895,Direct,Mobile,Australia,40,Female,Clothing,193.13,No,No,No,0.0,No
207,2025-12-25 05:46:57.817895,Referral,Mobile,Germany,49,Male,Sports,78.03,No,No,No,0.0,No
208,2026-01-16 05:46:57.817895,Referral,Mobile,Pakistan,25,Female,Beauty,441.79,Yes,Yes,Yes,441.79,No
209,2025-10-01 05:46:57.817895,Facebook,Desktop,USA,48,Male,Home,377.31,No,No,No,0.0,No
210,2025-09-17 05:46:57.817895,Email,Mobile,UK,54,Female,Beauty,381.19,No,No,No,0.0,No
211,2025-11-01 05:46:57.817895,Direct,Desktop,Germany,33,Male,Electronics,329.61,No,No,No,0.0,No
212,2025-12-18 05:46:57.817895,Facebook,Mobile,Germany,57,Female,Sports,258.45,Yes,Yes,No,0.0,Yes
213,2025-11-30 05:46:57.817895,Email,Mobile,Germany,59,Female,Home,83.49,Yes,Yes,Yes,83.49,No
214,2026-01-10 05:46:57.817895,Facebook,Mobile,USA,44,Male,Clothing,171.55,No,No,No,0.0,No
215,2026-01-15 05:46:57.817895,Facebook,Mobile,Canada,57,Female,Electronics,77.09,Yes,Yes,Yes,77.09,No
216,2025-11-29 05:46:57.817895,Referral,Mobile,Australia,58,Male,Electronics,365.21,Yes,Yes,Yes,365.21,No
217,2025-12-26 05:46:57.817895,Email,Mobile,Australia,35,Male,Sports,88.51,No,No,No,0.0,No
218,2025-11-02 05:46:57.817895,Direct,Mobile,Pakistan,52,Male,Home,354.04,Yes,Yes,Yes,354.04,No
219,2025-11-25 05:46:57.817895,Direct,Mobile,Canada,32,Male,Electronics,349.21,Yes,No,No,0.0,Yes
220,2025-08-27 05:46:57.817895,Email,Mobile,Australia,44,Female,Home,235.06,Yes,Yes,Yes,235.06,No
221,2026-01-19 05:46:57.817895,Referral,Mobile,Pakistan,34,Male,Home,76.26,No,No,No,0.0,No
222,2026-02-04 05:46:57.817895,Google,Mobile,Pakistan,57,Male,Electronics,164.25,Yes,Yes,Yes,164.25,No
223,2026-01-18 05:46:57.817895,Facebook,Tablet,Germany,19,Male,Home,166.85,No,No,No,0.0,No
224,2025-11-22 05:46:57.817895,Referral,Desktop,UK,48,Female,Sports,353.19,Yes,Yes,Yes,353.19,No
225,2026-01-18 05:46:57.817895,Email,Desktop,Germany,54,Male,Electronics,65.73,Yes,Yes,No,0.0,Yes
226,2026-01-19 05:46:57.817895,Facebook,Mobile,USA,58,Female,Sports,416.24,Yes,Yes,Yes,416.24,No
227,2025-11-28 05:46:57.817895,Direct,Desktop,Australia,58,Female,Sports,382.89,Yes,Yes,Yes,382.89,No
228,2025-10-15 05:46:57.817895,Google,Desktop,Pakistan,51,Male,Home,101.29,Yes,No,No,0.0,Yes
229,2026-02-01 05:46:57.817895,Direct,Desktop,UK,51,Female,Home,362.39,Yes,Yes,Yes,362.39,No
230,2026-02-08 05:46:57.817895,Email,Mobile,Australia,20,Male,Electronics,337.57,No,No,No,0.0,No
231,2025-12-30 05:46:57.817895,Facebook,Desktop,Pakistan,34,Female,Clothing,376.58,Yes,Yes,Yes,376.58,No
232,2025-10-02 05:46:57.817895,Email,Desktop,Pakistan,31,Female,Electronics,102.57,Yes,Yes,No,0.0,Yes
